Year,China,war
1945,0,1
1946,0,1
1947,0,1
1948,0,1
1949,0,1
1950,0,1
1951,0,1
1952,0,1
1953,0,1
1954,0,
1955,0,
1956,0,
1957,0,
1958,0,
1959,0,
1960,0,
1961,0,
1962,0,1
1963,0,
1964,1,
1965,1,1
1966,3,1
1967,2,1
1968,1,1
1969,1,1
1970,1,
1971,1,
1972,2,
1973,1,
1974,1,
1975,0,
1976,3,
1977,1,
1978,2,
1979,1,1
1980,1,
1981,0,
1982,0,
1983,0,
1984,0,
1985,0,
1986,0,
1987,0,
1988,0,
1989,0,
1990,0,
1991,0,
1992,0,
1993,0,
1994,0,
1995,0,
1996,0,
1997,0,
1998,0,
1999,0,
2000,0,
2001,0,1
2002,0,1
2003,0,1
2004,0,1
2005,0,1
2006,0,1
2007,0,1
2008,0,1
2009,0,1
2010,0,1
2011,0,1
2012,0,1
2013,0,1
2014,0,1
2015,0,1
2016,0,1
2017,0,1